Id,Fecha Entrada,Fecha Vencimiento,Codigo Producto,Precio Pagado,Venta Publico,Unidades,Unidades Vendidas,Peso,Peso Comprado
5555,10/10/2020,05/8/2025,3,245000.0,1800.0,594,6,100.0,0.0
6666,10/10/2020,05/8/2025,3,245000.0,1800.0,600,0,100.0,0.0
8888,10/10/2020,05/8/2028,4,245000.0,1800.0,397,3,100.0,0.0
9999,10/10/2020,05/8/2028,4,245000.0,1800.0,400,0,100.0,0.0
1010,10/10/2020,05/8/2028,5,245000.0,1800.0,400,0,76.0,24.0
1011,10/10/2020,05/8/2028,6,245000.0,1800.0,400,0,100.0,0.0
1012,10/10/2020,05/8/2028,7,245000.0,1800.0,400,0,100.0,0.0
1013,10/10/2020,05/8/2028,8,245000.0,1800.0,400,0,-47.8,147.8
1014,10/10/2020,05/8/2028,8,245000.0,1800.0,400,0,100.0,0.0
1015,10/10/2020,05/8/2028,8,245000.0,1800.0,400,0,100.0,0.0
1016,10/7/2021,10/7/2022,4,125000.0,12000.0,220,0,120.0,0.0
1234567811,11/15/2021,11/20/2022,15,1250000.0,27800.0,235,0,500.0,0.0
5678,12/06/21,12/14/2021,4,250000.0,2700.0,200,0,24500.0,0.0
2211,10/10/2020,05/8/2028,6,245000.0,1800.0,400,0,100.0,0.0
2212,10/10/2020,05/8/2028,7,245000.0,1800.0,400,0,100.0,0.0
2213,10/10/2020,05/8/2028,8,245000.0,1800.0,400,0,50.0,50.0
2214,10/10/2020,05/8/2028,8,245000.0,1800.0,400,0,100.0,0.0
2215,10/10/2020,05/8/2028,8,245000.0,1800.0,400,0,100.0,0.0
2216,10/7/2021,10/7/2022,4,125000.0,12000.0,220,0,120.0,0.0
