4,202011856,0,0
4,1010020101,1,1
4,202011856,0,0
4,202011856,1,1
2,202011856,2,2
4,1010020101,3,3
4,202011856,0,0
4,202011856,1,1
3,1010020101,2,2
4,2021,0,0
4,1010020101,1,1
4,202011856,2,2
3,202011856,0,0
4,1010020101,1,1
4,2021,0,0
3,202011856,0,0
4,123123434,1,1
3,202011866,0,0
3,202011866,0,0
4,2019068,0,0
4,1010020101,0,0
5,1010020101,0,0
4,1010020101,1,1
4,1010020101,0,0
4,1010020101,0,0
2,1010020101,0,0
2,202011866,0,0
5,1010020101,0,0
8,1010020101,0,0
8,1010020101,0,0
8,1010020101,0,0
4,202011866,0,0
,1010020101,0,0
4,202011866,0,0
4,202011866,0,0
8,202011866,0,0
4,202011866,0,0
3,202011866,0,0
4,202011866,0,0
4,202011866,0,0
4,202011866,1,1
3,202011866,0,0
4,202011866,1,1
3,1010020101,0,0
3,1010020101,1,1
8,1010020101,0,0
8,202011866,0,0
4,202011866,1,1
3,1010020101,0,0
4,123456,1,1
4,123,0,0
4,1010020101,1,1
4,202011866,2,2
4,202011866,0,0
4,1234,1,1
4,1234,0,0
3,1212,0,0
3,12345,0,0
4,12345,0,0
,12345,1,1
8,202011866,0,0
8,202011866,0,0
4,123456,1,1
4,123456,0,0
